type,name,description,principle,additional_info,links
A,"
Encourage switch to EV through corporate leasing. ",Area - Private Vehicles,zero_carbon_energy,"A transition to electric vehicles is enabled.
## Implementation Guidance
You will need to develop design guidance for EV charging points and build delivery partnerships to encourage wider investment and roll out in electric charging infrastructure.
## Risks and Limitations
You will need to consider investment in EV alongside investments in walking, cycling and public transport. 
## Considerations
Switching to EV reduces air pollution from cars which impacts air quality and therefore has positive implications for residents' health and well-being. However, wider considerations need to be given to metals required for the vehicles' batteries. Additionally, considerations need to be given to make sure the corporate leasing process is inclusive.
## Ease of Implementation
+ Normal business operations
## Business Case
> ## Cost
> 1 to 10 million
> ## Return on Investment
> Cost only
> ## Carbon Abatement Cost
> Weak negative/positive -100 to 100 £/tCO2
> ## Implemenation Steps
> 1. Funding/Financing
> ## Domains
> + Economic Dev Team
> + Corporate Policy
> ## Council Resources Needed
> + Policy
> ## Funding Sources
> National Government £2 billion cycling and walking scheme, Department for Transport LCWIP support etc.  National Government £2 billion cycling and walking scheme, Department for Transport LCWIP support etc. 



",*Health and Wellbeing*
A,"
Trial smart driving tools in cars. ",Area - Private Vehicles,zero_carbon_energy,"Shared mobility services and business models are implemented to discourage private vehicle use. 
## Implementation Guidance
Innovation processes provided in enabling interventions should be used to trial driving tools.
## Risks and Limitations
You will need to consider how this aligns with encouraging walking, cycling and investments in public transport.
## Considerations
None.
## Ease of Implementation
+ Normal business operations
## Business Case
> ## Cost
> Very low, less than 1 million
> ## Return on Investment
> Cost only
> ## Carbon Abatement Cost
> Strong positive >100£/tCO2
> ## Implemenation Steps
> 1. Feasibility Study
> 1. Work with suppliers
> 1. Prototype/Innovation
> ## Domains
> + Transport
> ## Council Resources Needed
> + Policy
> ## Funding Sources
> National Government £2 billion cycling and walking scheme, Department for Transport LCWIP support etc.  National Government £2 billion cycling and walking scheme, Department for Transport LCWIP support etc. 

## Case Studies
https://www.eltis.org/discover/case-studies/pre-commercial-procurement-autonomous-public-transport-answer-helsinkis

",*Health and Wellbeing*
A,Roll out Mobility as a Services (MaaS),Area - Public Transport,zero_carbon_energy,"Planning and investment allow for decarbonisation of bus infrastructure. 
## Implementation Guidance
Innovation processes provided in enabling interventions should be used for rolling out MaaS.
## Risks and Limitations
You will need to consider  whether populations, densities and street networks are in place to support public transport
## Considerations
None.
## Ease of Implementation
+ Normal business operations
## Business Case
> ## Cost
> 10-100 million
> ## Return on Investment
> Generates ROI after 15 years
> ## Carbon Abatement Cost
> Weak negative/positive -100 to 100 £/tCO2
> ## Implemenation Steps
> 1. Feasibility Study
> 1. Work with suppliers
> 1. Regulation
> ## Domains
> + Transport
> ## Council Resources Needed
> + Policy
> ## Funding Sources
> National Government £2 billion cycling and walking scheme, Department for Transport LCWIP support etc.  National Government £2 billion cycling and walking scheme, Department for Transport LCWIP support etc. 

## Case Studies
https://ts.catapult.org.uk/2017/08/14/mobility-service-new-paradigm/
https://cp.catapult.org.uk/news/net-zero-places-innovation-brief/
## Other Information
www.spacesyntax.com/openmapping
",*Health and Wellbeing*
A,"Trial autonomous delivery vehicles, electric remote-controlled vehicles. ",Area - Freight and Logistics,zero_carbon_energy,"The movements of goods and services is consolidated to allow for decarbonisation of freight operations. 
## Implementation Guidance
Innovation processes provided in enabling interventions should be used to trial autonomous vehicles.
## Risks and Limitations
You will need to consider how autonomous vehicles fit with other modes of transport and if there is any impact on safety. 
## Considerations
Autonomous vehicles would have an impact on current taxi drivers and other transport jobs.
## Ease of Implementation
+ Normal business operations
## Business Case
> ## Cost
> 1 to 10 million
> ## Return on Investment
> Cost only
> ## Carbon Abatement Cost
> Weak negative/positive -100 to 100 £/tCO2
> ## Implemenation Steps
> 1. Feasibility Study
> 1. Work with suppliers
> 1. Prototype/Innovation
> ## Domains
> + Transport
> + Economic Dev Team
> ## Council Resources Needed
> + Investment
> + Policy
> ## Funding Sources
> National Government £2 billion cycling and walking scheme, Department for Transport LCWIP support etc.  National Government £2 billion cycling and walking scheme, Department for Transport LCWIP support etc. 

## Case Studies
https://www.eltis.org/discover/case-studies/pre-commercial-procurement-autonomous-public-transport-answer-helsinkis
## Other Information
https://www.streetdrone.com/
",*Health and Wellbeing*
A,Conduct a space optimisation/rationalisation study to determine best utilisation of council offices and inform retrofitting programmes. ,Area - Council-owned buildings,zero_carbon_energy,"A programme to retrofit council-owned buildings is implemented with whole-life value of retrofitting measured. 
## Implementation Guidance
This should be complemented with enabling interventions focusing on retrofitting programmes.
## Risks and Limitations
In undertaking a rationalisation study, this can result in use of space more efficiently, particularly in response to changing work patterns. But be aware of shifting the impact of work elsewhere, be that through working form home or offsite working. Easy to implement and could have significant cost and carbon savings for councils own footprint. 
## Considerations
None.
## Ease of Implementation
+ Normal business operations
## Business Case
> ## Cost
> Very low, less than 1 million
> ## Return on Investment
> Generates savings
> ## Carbon Abatement Cost
> Strong negative >-100 £/tCO2
> ## Implemenation Steps
> 1. Feasibility Study
> 1. Move to implementation
> ## Domains
> + Corporate Policy
> ## Council Resources Needed
> + Existing staff/budget
> ## Funding Sources
> National Government £1 billion funding for retrofitting of public building and social tenant houses
> 
> £50 millions for innovations in reducing social housing GHG
> 
> Announcement of the Green Homes Grant Scheme
> 
> £500 million to support Local Authority Delivery Scheme
> 
> Non-domestic Renewable Heat Incentive (RHI) financial incentives through payment received based on heat generation
> 

## Case Studies
https://www.innovations.harvard.edu/opex/research/case-study-new-york-city-office-space-optimization-operational-excellence-government
## Other Information
https://www.ukgbc.org/wp-content/uploads/2021/02/Retrofit-Playbook.pdf
https://www.ukgbc.org/wp-content/uploads/2019/10/Consultation-paper-Energy-performance-targets-for-commercial-offices.pdf
",*Health and Wellbeing*
A,"Review investment plans for stock with EPC rating E, F and G and review asset management plans to align with zero carbon ambitions. Provide a route to achieving a minimum of EPC C by 2030 inline with government ambitions. ",Area - Council-owned housing,zero_carbon_energy,"A programme to retrofit council social housing is implemented with whole-life value of doing so measured, alongside whole-life carbon. 
## Implementation Guidance
This should be complemented with enabling interventions focusing on retrofitting programmes.
## Risks and Limitations
Harness planned capital investment and use strategically to improve building stock.  Use EPC data and fuel poverty data to develop segmented retrofit programme.
## Considerations
None.
## Ease of Implementation
+ Additional investment/change  required eg within planned capital programmes
+ Extensive investment/ change required (additional financial capital)
## Business Case
> ## Cost
> 10-100 million
> ## Return on Investment
> Cost only
> ## Carbon Abatement Cost
> Strong positive >100£/tCO2
> ## Implemenation Steps
> 1. Feasibility Study
> 1. Funding/Financing
> 1. Move to implementation
> ## Domains
> + Housing
> ## Council Resources Needed
> + Investment
> ## Funding Sources
> National Government £1 billion funding for retrofitting of public building and social tenant houses
> 
> £50 millions for innovations in reducing social housing GHG
> 
> Announcement of the Green Homes Grant Scheme
> 
> £500 million to support Local Authority Delivery Scheme
> 
> Non-domestic Renewable Heat Incentive (RHI) financial incentives through payment received based on heat generation
> 


## Other Information
https://www.rics.org/globalassets/rics-website/media/knowledge/research/insights/mees-impact-on-uk-property-management-and-valuation-rics.pdf
https://www.gov.uk/guidance/domestic-private-rented-property-minimum-energy-efficiency-standard-landlord-guidance
",*Health and Wellbeing*
A,Support homeowners in accessing accredited advice on whole house retrofit,Area - Residential buildings,zero_carbon_energy,"Residents incentivised to retrofit their residential properties. 
## Implementation Guidance
This should be complemented with enabling interventions focusing on behavioural change programmes.
## Risks and Limitations
Homeowners need help to build trust that the supply chain can deliver with care and to a quality standard. 
## Considerations
Supporting all residents can ensure funding process are more inclusive and accessible to all residents. 
## Ease of Implementation
+ Additional investment/change  required eg within planned capital programmes
+ Extensive investment/ change required (additional financial capital)
## Business Case
> ## Cost
> Very low, less than 1 million
> ## Return on Investment
> Cost only
> ## Carbon Abatement Cost
> Strong positive >100£/tCO2
> ## Implemenation Steps
> 1. Work with suppliers
> 1. Lobbying/Convening and Networking
> ## Domains
> + Planning
> + Culture & Environment
> ## Council Resources Needed
> + Investment
> ## Funding Sources
> National Government £1 billion funding for retrofitting of public building and social tenant houses
> 
> £50 millions for innovations in reducing social housing GHG
> 
> Announcement of the Green Homes Grant Scheme
> 
> £500 million to support Local Authority Delivery Scheme
> 
> Non-domestic Renewable Heat Incentive (RHI) financial incentives through payment received based on heat generation
> 



",*Inclusion*
A,Set and enforce minimum energy standards for existing buildings. ,Area - Residential buildings,zero_carbon_energy,"Residents incentivised to retrofit their residential properties. 
## Implementation Guidance
This should be complemented with enabling interventions focusing on retrofitting programmes and enabling planning policies.
## Risks and Limitations
This will need to be aligned with the Minimum Energy Efficiency Standards and Future Homes Standards. Resources are required to support enforcement. 
## Considerations
Enforcement could contribute to the creation of new jobs.
## Ease of Implementation
+ Additional investment/change  required eg within planned capital programmes
+ Extensive investment/ change required (additional financial capital)
## Business Case
> ## Cost
> Very low, less than 1 million
> ## Return on Investment
> Cost only
> ## Carbon Abatement Cost
> Weak negative/positive -100 to 100 £/tCO2
> ## Implemenation Steps
> 1. Regulation
> ## Domains
> + Planning
> + Housing
> ## Council Resources Needed
> + Existing staff/budget
> ## Funding Sources
> National Government £1 billion funding for retrofitting of public building and social tenant houses
> 
> £50 millions for innovations in reducing social housing GHG
> 
> Announcement of the Green Homes Grant Scheme
> 
> £500 million to support Local Authority Delivery Scheme
> 
> Non-domestic Renewable Heat Incentive (RHI) financial incentives through payment received based on heat generation
> 



",*Health and Wellbeing*
A,Develop and launch accreditation programme for landlords. ,Area - Residential buildings,zero_carbon_energy,"Residents incentivised to retrofit their residential properties. 
## Implementation Guidance
This should be complemented with enabling interventions focusing on retrofitting programmes and enabling planning policies.
## Risks and Limitations
This will need to be aligned with the Minimum Energy Efficiency Standards and Future Homes Standards. Resources are required to support enforcement. 
## Considerations
Accreditation scheme could contribute to the creation of new jobs.
## Ease of Implementation
+ Additional investment/change  required eg within planned capital programmes
+ Extensive investment/ change required (additional financial capital)
## Business Case
> ## Cost
> Very low, less than 1 million
> ## Return on Investment
> Cost only
> ## Carbon Abatement Cost
> Weak negative/positive -100 to 100 £/tCO2
> ## Implemenation Steps
> 1. Regulation
> ## Domains
> + Planning
> + Housing
> ## Council Resources Needed
> + Policy
> ## Funding Sources
> National Government £1 billion funding for retrofitting of public building and social tenant houses
> 
> £50 millions for innovations in reducing social housing GHG
> 
> Announcement of the Green Homes Grant Scheme
> 
> £500 million to support Local Authority Delivery Scheme
> 
> Non-domestic Renewable Heat Incentive (RHI) financial incentives through payment received based on heat generation
> 

## Case Studies
https://www.londonlandlords.org.uk/accreditation/

",*Job Creation*
A,Support building owners in accessing accredited advice on whole building retrofit. Offer specific support for SMEs and work with the LEP to do so. ,Area - Commercial and industrial buildings,zero_carbon_energy,"Local businesses incentivised to retrofit their commercial buildings whilst a programme to decarbonise industrial assets is launched. 
## Implementation Guidance
This should be complemented with enabling interventions focusing on behavioural change programmes.
## Risks and Limitations
Building owners need help to build trust that the supply chain can deliver with care and to a quality standard. SMEs may not have the resources to deliver. 
## Considerations
Supporting all owners can ensure funding process are more inclusive and accessible to all owners including SMEs.
## Ease of Implementation
+ Additional investment/change  required eg within planned capital programmes
+ Extensive investment/ change required (additional financial capital)
## Business Case
> ## Cost
> Very low, less than 1 million
> ## Return on Investment
> Cost only
> ## Carbon Abatement Cost
> Weak negative/positive -100 to 100 £/tCO2
> ## Implemenation Steps
> 1. Work with suppliers
> 1. Lobbying/Convening and Networking
> ## Domains
> + Planning
> + Housing
> ## Council Resources Needed
> + Existing staff/budget
> ## Funding Sources
> National Government £1 billion funding for retrofitting of public building and social tenant houses
> 
> £50 millions for innovations in reducing social housing GHG
> 
> Announcement of the Green Homes Grant Scheme
> 
> £500 million to support Local Authority Delivery Scheme
> 
> Non-domestic Renewable Heat Incentive (RHI) financial incentives through payment received based on heat generation
> 



",*Inclusion*
